Latitude;Longitude;Timestamp;RouteNumber;DriverID;State;DriverCode;RouteCode;Accuracy;Speed;PosDate;IsGpsValid
55.5842486;36.8272441;2025-07-17 11:22:28.963;0;181194;NULL;EMP07456;YR313246;7.65700006484985;21.3274383544922;2025-07-17;1
55.5844272;36.8289411;2025-07-17 11:22:23.967;0;181194;NULL;EMP07456;YR313246;7.2649998664856;22.0206069946289;2025-07-17;1
55.5845931;36.8306641;2025-07-17 11:22:18.970;0;181194;NULL;EMP07456;YR313246;7.73799991607666;21.9094638824463;2025-07-17;1
55.5847625;36.8323643;2025-07-17 11:22:13.970;0;181194;NULL;EMP07456;YR313246;7.25;21.7711772918701;2025-07-17;1
55.5849248;36.8340502;2025-07-17 11:22:08.960;0;181194;NULL;EMP07456;YR313246;7.30000019073486;22.7213916778564;2025-07-17;1
55.5851095;36.8358422;2025-07-17 11:22:03.953;0;181194;NULL;EMP07456;YR313246;7.59100008010864;22.9824542999268;2025-07-17;1
55.5852918;36.8376338;2025-07-17 11:21:58.953;0;181194;NULL;EMP07456;YR313246;7.77899980545044;22.1951084136963;2025-07-17;1
55.5854822;36.8393899;2025-07-17 11:21:53.967;0;181194;NULL;EMP07456;YR313246;7.40999984741211;21.8621387481689;2025-07-17;1
55.5856288;36.8409952;2025-07-17 11:21:48.963;0;181194;NULL;EMP07456;YR313246;7.41800022125244;19.9820289611816;2025-07-17;1
55.5857704;36.8424994;2025-07-17 11:21:43.957;0;181194;NULL;EMP07456;YR313246;8.24100017547607;17.6387748718262;2025-07-17;1
55.5859085;36.843858;2025-07-17 11:21:38.953;0;181194;NULL;EMP07456;YR313246;8.25800037384033;16.8023529052734;2025-07-17;1
55.5860768;36.845141;2025-07-17 11:21:33.953;0;181194;NULL;EMP07456;YR313246;8.41100025177002;15.6395587921143;2025-07-17;1
55.5862018;36.8465136;2025-07-17 11:21:28.940;0;181194;NULL;EMP07456;YR313246;8.25100040435791;20.6563529968262;2025-07-17;1
55.5863677;36.8480684;2025-07-17 11:21:23.947;0;181194;NULL;EMP07456;YR313246;8.17700004577637;18.6069946289063;2025-07-17;1
55.5865034;36.8496016;2025-07-17 11:21:18.947;0;181194;NULL;EMP07456;YR313246;8.19299983978271;20.7868804931641;2025-07-17;1
55.5866637;36.8513024;2025-07-17 11:21:13.950;0;181194;NULL;EMP07456;YR313246;8.29899978637695;21.3871116638184;2025-07-17;1
